"","GN","UnterGN","Datum","Land","Wert","Verzeichnis","Signatur","Haupttyp","Untertyp","Zusatz","Herkunftsdatei"
"986",11836,2,2012-01-23,"Deutschland",162,"GKV","1C351d11","1","C","351d11","Tracker"
"987",11836,3,2012-01-23,"Deutschland",162,"GKV","1C351d11","1","C","351d11","Tracker"
"988",11836,4,2012-01-23,"Deutschland",162,"GKV","1C351d11","1","C","351d11","Tracker"
"989",11837,1,2012-01-23,"Deutschland",132,"GKV","1C351d11","1","C","351d11","Tracker"
"990",11838,1,2012-01-23,"Frankreich",82,"GKV","1C351d11","1","C","351d11","Tracker"
"991",11839,1,2012-01-24,"Türkei",23800,"ML (GKV)","18a","18","a","","Tracker"
"992",11840,1,2012-01-24,"Hong Kong",15900,"GKV","3A001a2c","3","A","001a2c","Tracker"
"993",11841,1,2012-01-24,"Hong Kong",211000,"GKV","3A001a2c","3","A","001a2c","Tracker"
"994",11842,1,2012-01-24,"Hong Kong",79200,"GKV","3A001a5a1","3","A","001a5a1","Tracker"
"995",11843,1,2012-01-24,"Malaysia",21115,"GKV","5A002a1a","5","A","002a1a","Tracker"
"996",11844,1,2012-01-24,"Russland",180000,"GKV","6A005a6b2","6","A","005a6b2","Tracker"
"997",11845,1,2012-01-25,"Taiwan",725000,"GKV","2B201a|2B001b","2","B","201a","Tracker"
"998",11846,1,2012-01-25,"Vereinigte Arabische Emirate",10040,"GKV","6A003b4","6","A","003b4","Tracker"
"999",11847,1,2012-01-25,"Singapur",321173,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"1000",11848,1,2012-01-25,"China",182065,"GKV","2B201a1","2","B","201a1","Tracker"
"1001",11849,1,2012-01-25,"China",90000,"GKV","3A002g2","3","A","002g2","Tracker"
"1002",11850,1,2012-01-25,"China",54450,"GKV","3A002g2","3","A","002g2","Tracker"
"1003",11851,1,2012-01-25,"Russland",1547500,"GKV","2B201b|2B001c1","2","B","201b","Tracker"
"1004",11852,1,2012-01-25,"Südafrika",151596,"GKV","7A103a","7","A","103a","Tracker"
"1005",11853,1,2012-01-25,"China",3399,"GKV","2B350g2","2","B","350g2","Tracker"
"1006",11854,1,2012-01-26,"Türkei",16800,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"1007",11855,1,2012-01-26,"Südafrika",17150,"ML (GKV)","18a","18","a","","Tracker"
"1008",11855,2,2012-01-26,"Südafrika",3200,"ML (GKV)","18a","18","a","","Tracker"
"1009",11856,1,2012-01-26,"Slowakei",368636,"GKV","2B201b1","2","B","201b1","Tracker"
"1010",11857,1,2012-01-26,"Israel",1,"GKV","3C001d","3","C","001d","Tracker"
"1011",11858,1,2012-01-26,"Russland",16215,"5.1","5.1","1","","","Tracker"
"1012",11859,1,2012-01-26,"China",201715,"GKV","2B201a|2B001b","2","B","201a","Tracker"
"1013",11860,1,2012-01-26,"Israel",6997,"GKV","3A001a10c","3","A","001a10c","Tracker"
"1014",11861,1,2012-01-26,"Israel",6630,"GKV","3A001a10c","3","A","001a10c","Tracker"
"1015",11862,1,2012-01-26,"Singapur",2850,"GKV","1C231","1","C","231","Tracker"
"1016",11863,1,2012-01-26,"Brasilien",169371,"GKV","6A005a6b2","6","A","005a6b2","Tracker"
"1017",11864,1,2012-01-27,"Russland",122070,"GKV","2B001a","2","B","001a","Tracker"
"1018",11865,1,2012-01-27,"Russland",492090,"GKV","2B201a","2","B","201a","Tracker"
"1019",11866,1,2012-01-27,"Russland",183219,"GKV","2B201a","2","B","201a","Tracker"
"1020",11867,1,2012-01-27,"Russland",291619,"GKV","2B001a","2","B","001a","Tracker"
"1021",11868,1,2012-01-27,"China",1780000,"GKV","2B201b1","2","B","201b1","Tracker"
"1022",11868,2,2012-01-27,"China",1,"GKV","2B201b1","2","B","201b1","Tracker"
"1023",11869,1,2012-01-27,"Chile",4246,"GKV","2B350g2","2","B","350g2","Tracker"
"1024",11869,2,2012-01-27,"Chile",1934,"GKV","2B350g2","2","B","350g2","Tracker"
"1025",11871,1,2012-01-27,"Hong Kong",6980,"GKV","5A002a1a","5","A","002a1a","Tracker"
"1026",11872,1,2012-01-27,"China",117036,"GKV","5D002c1","5","D","002c1","Tracker"
"1027",11873,1,2012-01-27,"China",53780,"GKV","5D002c1","5","D","002c1","Tracker"
"1028",11874,1,2012-01-27,"China",51014,"GKV","5D002c1","5","D","002c1","Tracker"
"1029",11875,1,2012-01-30,"Deutschland",51060,"GKV","0B002g","0","B","002g","Tracker"
"1030",11876,1,2012-01-30,"Russland",180000,"GKV","6A005a6b2","6","A","005a6b2","Tracker"
"1031",11877,1,2012-01-30,"Brasilien",217978,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"1032",11878,1,2012-01-30,"Brasilien",163440,"GKV","2B201a1","2","B","201a1","Tracker"
"1033",11879,1,2012-01-30,"Brasilien",170248,"GKV","2B201a1","2","B","201a1","Tracker"
"1034",11880,1,2012-01-30,"Russland",19300,"ML (GKV)","1a","1","a","","Tracker"
"1035",11881,1,2012-01-30,"Tunesien",13047,"ChKV","2B4","2B","4","","Tracker"
"1036",11882,1,2012-01-30,"Aserbaidschan",16480,"GKV","6A002c1","6","A","002c1","Tracker"
"1037",11883,1,2012-01-30,"China",687652,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"1038",11884,1,2012-01-30,"Russland",151596,"GKV","7A103a","7","A","103a","Tracker"
"1039",11885,1,2012-01-30,"Kuba",12615,"GKV","2B350d3","2","B","350d3","Tracker"
"1040",11886,1,2012-01-31,"Grossbritannien",6450,"GKV","1C233","1","C","233","Tracker"
"1041",11887,1,2012-01-31,"Singapur",1068,"5.1","5.1","1","","","Tracker"
"1042",11888,1,2012-01-31,"Brasilien",27380,"ML (GKV)","11","11","","","Tracker"
"1043",11888,2,2012-01-31,"Brasilien",48370,"ML (GKV)","11","11","","","Tracker"
"1044",11889,1,2012-02-01,"Russland",2236764,"GKV","2B201a|2B001b","2","B","201a","Tracker"
"1045",11890,1,2012-02-01,"Kolumbien",2535,"5.1","5.1","1","","","Tracker"
"1046",11890,2,2012-02-01,"Kolumbien",17250,"5.1","5.1","1","","","Tracker"
"1047",11891,1,2012-02-02,"Kenia",49800,"ML (GKV)","4b","4","b","","Tracker"
"1048",11891,2,2012-02-02,"Kenia",15800,"ML (GKV)","4b","4","b","","Tracker"
"1049",11892,1,2012-02-02,"Dänemark",7480,"GKV","1C235","1","C","235","Tracker"
"1050",11892,2,2012-02-02,"Dänemark",500,"GKV","1B231.b2","1","B","231b2","Tracker"
"1051",11893,1,2012-02-02,"Südafrika",14022,"GKV","2B350g2","2","B","350g2","Tracker"
"1052",11894,1,2012-02-02,"Chile",32912,"GKV","2B350g2","2","B","350g2","Tracker"
"1053",11895,1,2012-02-02,"Iran",1278,"unbekannt","unbekannt","","","","Tracker"
"1054",11896,1,2012-02-02,"Schweden",6283,"ML (GKV)","4c","4","c","","Tracker"
"1055",11897,1,2012-02-03,"USA",89,"ML (GKV)","6a","6","a","","Tracker"
"1056",11897,2,2012-02-03,"USA",2889,"ML (GKV)","6a","6","a","","Tracker"
"1057",11898,1,2012-02-03,"Malta",16000,"GKV","5A002a1a","5","A","002a1a","Tracker"
"1058",11899,1,2012-02-03,"Indien",1140000,"GKV","2B352b","2","B","352b","Tracker"
"1059",11900,1,2012-02-03,"Russland",64735,"GKV","2B001a","2","B","001a","Tracker"
"1060",11901,1,2012-02-03,"Russland",202214,"GKV","2B001a","2","B","001a","Tracker"
"1061",11903,1,2012-02-06,"Indien",61440,"GKV","5A002a1a","5","A","002a1a","Tracker"
"1062",11904,1,2012-02-06,"Indien",122880,"GKV","5A002a1a","5","A","002a1a","Tracker"
"1063",11905,1,2012-02-06,"Indien",30720,"GKV","5A002a1a","5","A","002a1a","Tracker"
"1064",11906,1,2012-02-06,"Pakistan",55187,"GKV","3A002g2","3","A","002g2","Tracker"
